"Date","Time","Open","High","Low","Close","Volume","MACD","MACDAvg","MACDDiff","RSI","SlowK","SlowD","FastAvg","SlowAvg","DistF","DistS","FGS","FLS","OpenBar"
08/06/2001,17:15,84.7200,84.9600,84.6700,84.9600,1593,0.009573,0.001915,0.007658,66.60,92.07,91.26,84.1920,84.4572,0.7680,0.5028,0,2,1
08/07/2001,17:15,84.9400,85.4200,84.8800,85.4100,4789,0.052861,0.012104,0.040757,69.48,95.16,92.69,84.3800,84.4428,1.0300,0.9672,0,3,1
08/08/2001,17:15,85.1600,85.5000,84.7600,84.7600,3645,0.034322,0.016547,0.017775,61.27,91.03,92.75,84.4500,84.4230,0.3100,0.3370,1,0,1
08/09/2001,17:15,84.7500,84.8700,84.6000,84.8600,2585,0.027383,0.018715,0.008669,62.01,85.26,90.48,84.5410,84.3814,0.3190,0.4786,2,0,1
08/10/2001,17:15,84.9100,85.2700,84.8700,85.2700,2119,0.054341,0.025840,0.028501,64.98,80.22,85.50,84.6440,84.3454,0.6260,0.9246,3,0,1
08/13/2001,17:15,85.2600,85.4900,85.0400,85.0400,1224,0.056496,0.031971,0.024525,62.05,80.15,81.88,84.7630,84.3108,0.2770,0.7292,4,0,1
08/14/2001,17:15,85.7300,85.9700,85.6300,85.9700,831,0.131728,0.051922,0.079805,68.28,89.79,83.39,85.0030,84.3142,0.9670,1.6558,5,0,1
08/15/2001,17:15,85.2300,85.4100,84.7000,84.7000,957,0.087858,0.059110,0.028749,55.01,74.89,81.61,85.0740,84.3002,0.3740,0.3998,6,0,1
08/16/2001,17:15,84.6600,84.7300,84.4500,84.4500,3380,0.032544,0.053796,-0.021253,52.83,61.25,75.31,85.0260,84.2900,0.5760,0.1600,7,0,1
08/17/2001,17:15,84.4600,84.6600,83.5700,83.5700,1691,-0.081364,0.026764,-0.108129,45.94,27.92,54.69,84.8990,84.2582,1.3290,0.6882,8,0,1
08/20/2001,17:15,83.5700,84.1500,83.5100,84.1500,1822,-0.123414,-0.003271,-0.120142,50.52,20.94,36.70,84.8180,84.2358,0.6680,0.0858,9,0,1
08/21/2001,17:15,84.1200,84.6800,84.1000,84.6800,2458,-0.112673,-0.025152,-0.087521,54.33,24.73,24.53,84.7450,84.2344,0.0650,0.4456,10,0,1
08/22/2001,17:15,84.6900,85.1600,84.6200,85.0400,5384,-0.074255,-0.034972,-0.039283,56.76,45.26,30.31,84.7730,84.2396,0.2670,0.8004,11,0,1
08/23/2001,17:15,84.3400,84.6000,84.2900,84.5900,3132,-0.079207,-0.043819,-0.035388,52.96,51.22,40.40,84.7460,84.2242,0.1560,0.3658,12,0,1
08/24/2001,17:15,84.6500,84.8600,84.5900,84.8600,2710,-0.060646,-0.047185,-0.013461,54.91,53.66,50.05,84.7050,84.2000,0.1550,0.6600,13,0,1
08/27/2001,17:15,84.9300,85.1300,84.6300,84.6300,2299,-0.063760,-0.050500,-0.013261,52.90,48.10,50.99,84.6640,84.1684,0.0340,0.4616,14,0,1
08/28/2001,17:15,84.6600,85.1300,84.5900,85.1300,1678,-0.025588,-0.045517,0.019930,56.62,55.42,52.39,84.5800,84.1404,0.5500,0.9896,15,0,1
08/29/2001,17:15,85.1300,85.2700,85.0100,85.0100,3323,-0.004961,-0.037406,0.032445,55.49,57.45,53.66,84.6110,84.1266,0.3990,0.8834,16,0,1
08/30/2001,17:15,84.9800,85.0500,84.5100,84.5100,1669,-0.028630,-0.035651,0.007021,50.92,55.83,56.23,84.6170,84.1092,0.1070,0.4008,17,0,1
08/31/2001,17:15,84.5100,85.1600,84.5100,85.1600,1705,0.005003,-0.027520,0.032524,55.99,56.23,56.50,84.7760,84.1240,0.3840,1.0360,18,0,1
09/04/2001,17:15,85.1300,85.1400,84.8900,84.8900,1687,0.009759,-0.020064,0.029823,53.52,59.09,57.05,84.8500,84.1348,0.0400,0.7552,19,0,1
09/05/2001,17:15,84.8900,84.9200,84.7500,84.9100,1529,0.014970,-0.013057,0.028027,53.68,72.39,62.57,84.8730,84.1480,0.0370,0.7620,20,0,1
