"Date","Time","Open","High","Low","Close","Volume","MACD","MACDAvg","MACDDiff","RSI","SlowK","SlowD","FastAvg","SlowAvg","DistF","DistS","FGS","FLS","OpenBar"
08/31/2005,17:15,126.2200,136.3100,126.2200,134.8600,292872,0.701994,0.140399,0.561595,68.39,89.72,87.50,122.8330,99.3164,12.0270,35.5436,2,0,1
09/30/2005,17:15,134.2600,135.1700,127.8200,131.5100,300333,0.976753,0.307670,0.669084,64.71,87.61,87.91,123.7410,100.2752,7.7690,31.2348,3,0,1
10/31/2005,17:15,131.3700,131.7900,125.2300,126.5300,231706,0.783625,0.402861,0.380764,59.57,79.00,85.44,124.8150,101.1026,1.7150,25.4274,4,0,1
11/30/2005,17:15,125.6800,128.0700,121.1200,121.8000,214145,0.246061,0.371501,-0.125440,55.10,58.88,75.16,125.1910,101.9180,3.3910,19.8820,5,0,1
12/30/2005,17:15,122.8000,127.1400,122.0100,124.3100,210463,0.022316,0.301664,-0.279348,56.95,48.70,62.19,125.2610,102.8226,0.9510,21.4874,6,0,1
01/31/2006,17:15,125.4500,133.0900,125.2200,131.9700,275695,0.457817,0.332894,0.124923,62.07,56.39,54.66,125.8570,103.9324,6.1130,28.0376,7,0,1
02/28/2006,17:15,131.6900,132.0900,121.5200,123.2000,277403,0.094204,0.285156,-0.190953,54.12,57.49,54.19,126.2550,104.8556,3.0550,18.3444,8,0,0
03/31/2006,17:15,124.0600,128.1900,122.0600,127.4000,277181,0.143290,0.256783,-0.113493,56.97,60.49,58.12,127.1500,105.8982,0.2500,21.5018,9,0,1
04/28/2006,17:15,127.3000,134.6500,126.7900,130.9800,260535,0.465700,0.298566,0.167133,59.28,57.36,58.45,127.8620,106.9724,3.1180,24.0076,10,0,0
05/31/2006,17:15,131.0500,134.2900,126.7800,130.0100,312901,0.635614,0.365976,0.269638,58.37,67.41,61.75,128.2570,107.9310,1.7530,22.0790,11,0,1
06/30/2006,17:15,129.8700,132.4500,126.7100,132.1400,277651,0.931408,0.479062,0.452346,59.83,74.93,66.57,127.9850,108.9120,4.1550,23.2280,12,0,1
07/31/2006,17:15,132.2400,136.6900,129.3400,130.1500,254825,0.993795,0.582009,0.411786,57.78,71.47,71.27,127.8490,109.8768,2.3010,20.2732,13,0,1
08/31/2006,17:15,130.9700,133.7000,125.3600,125.9800,230739,0.698699,0.605347,0.093352,53.64,60.47,68.96,127.7940,110.7330,1.8140,15.2470,14,0,1
09/29/2006,17:15,126.0100,126.3800,114.5900,117.9800,1401942,-0.178641,0.448549,-0.627190,46.71,34.95,55.63,127.4120,111.4186,9.4320,6.5614,15,0,1
10/31/2006,17:15,117.8700,118.3900,110.4700,112.1500,2572176,-1.329050,0.093029,-1.422080,42.41,15.54,36.99,126.1960,111.9310,14.0460,0.2190,16,0,1
11/30/2006,17:15,112.0200,115.2300,109.2600,114.5900,3157891,-2.020579,-0.329692,-1.690887,44.70,13.73,21.41,124.4580,112.4652,9.8680,2.1248,17,0,1
12/29/2006,17:15,114.3100,115.2800,110.7600,111.8500,2599351,-2.757924,-0.815339,-1.942585,42.65,11.84,13.70,123.3230,113.0156,11.4730,1.1656,18,0,1
01/31/2007,17:15,111.7800,112.3500,100.7000,107.6100,4422442,-3.642420,-1.380755,-2.261665,39.62,16.32,13.96,121.3440,113.4692,13.7340,5.8592,19,0,1
02/28/2007,17:15,107.3600,111.2400,106.0900,110.7900,3198858,-4.040217,-1.912647,-2.127570,42.90,19.71,15.96,119.3250,113.8928,8.5350,3.1028,20,0,0
03/30/2007,17:15,110.8200,114.6200,105.1700,112.4000,4433362,-4.177406,-2.365599,-1.811807,44.54,26.58,20.87,117.5640,114.2740,5.1640,1.8740,21,0,1
04/30/2007,17:15,112.5600,113.2200,107.8800,110.9900,3748718,-4.349763,-2.762432,-1.587331,43.36,29.71,25.33,115.4490,114.5410,4.4590,3.5510,22,0,1
05/31/2007,17:15,110.9400,111.4300,105.9600,108.2500,4224615,-4.653806,-3.140707,-1.513099,41.09,27.36,27.88,113.2590,114.8590,5.0090,6.6090,0,1,1
06/29/2007,17:15,108.4700,114.7700,108.0400,114.3900,4174478,-4.349181,-3.382401,-0.966780,47.70,29.20,28.76,112.1000,115.3618,2.2900,0.9718,0,2,1
07/31/2007,17:15,114.2300,121.7400,113.2800,121.6700,4065061,-3.480211,-3.401963,-0.078247,54.26,39.09,31.89,112.4690,115.9284,9.2010,5.7416,0,3,1
08/31/2007,17:15,121.4000,122.2300,112.2500,117.6600,4610335,-3.079619,-3.337494,0.257875,50.50,47.81,38.70,113.0200,116.3660,4.6400,1.2940,0,4,1
09/28/2007,17:15,117.5200,128.6600,117.1000,126.5600,4449442,-2.020698,-3.074135,1.053437,57.53,60.76,49.22,114.2170,116.9592,12.3430,9.6008,0,5,0
10/31/2007,17:15,126.6500,141.6100,123.2500,140.8600,5527130,-0.027291,-2.464766,2.437476,65.90,75.51,61.36,117.1180,117.8206,23.7420,23.0394,0,6,1
11/30/2007,17:15,141.4800,146.8800,136.0400,136.3000,6301817,1.171046,-1.737604,2.908650,61.72,84.62,73.63,119.9870,118.6428,16.3130,17.6572,1,0,1
12/31/2007,17:15,136.3800,145.2300,133.4100,143.2900,4298929,2.654175,-0.859248,3.513423,65.35,88.80,82.98,123.2370,119.6094,20.0530,23.6806,2,0,1
01/31/2008,17:15,143.3600,147.4000,133.2900,139.6200,5288732,3.493161,0.011234,3.481927,62.03,84.22,85.88,125.9590,120.4566,13.6610,19.1634,3,0,1
02/29/2008,17:15,139.2300,150.9700,134.1100,149.7600,5062963,4.919566,0.992900,3.926666,67.02,91.21,88.08,129.8360,121.4630,19.9240,28.2970,4,0,1
03/31/2008,17:15,149.5500,159.7200,146.7900,150.9500,6113972,6.075986,2.009517,4.066469,67.56,88.28,87.90,134.1060,122.4574,16.8440,28.4926,5,0,1
04/30/2008,17:15,150.9400,169.8300,148.9200,163.3600,5657015,7.902742,3.188162,4.714580,72.59,90.29,89.93,139.0030,123.6110,24.3570,39.7490,6,0,1
