"Date","Time","Open","High","Low","Close","Volume","MACD","MACDAvg","MACDDiff","RSI","SlowK","SlowD","FastAvg","SlowAvg","DistF","DistS","FGS","FLS","OpenBar"
05/10/2002,17:15,81.9500,83.6900,81.4600,83.6300,25828,0.109288,0.021858,0.087430,74.05,86.06,82.73,81.4750,80.7134,2.1550,2.9166,2,0,0
05/17/2002,17:15,83.3900,85.1800,83.1000,83.8200,34212,0.208823,0.059251,0.149573,74.40,87.39,84.84,81.8910,80.6906,1.9290,3.1294,3,0,0
05/24/2002,17:15,83.8400,83.8800,82.4500,82.4800,21332,0.177533,0.082907,0.094626,67.40,83.59,85.68,82.1060,80.6330,0.3740,1.8470,4,0,0
05/31/2002,17:15,82.2300,82.3600,81.2700,81.9100,22491,0.105524,0.087430,0.018093,64.61,73.01,81.33,82.2300,80.5636,0.3200,1.3464,5,0,0
06/07/2002,17:15,81.8600,82.0500,81.2400,81.3500,31043,0.003232,0.070591,-0.067359,61.90,61.20,72.60,82.1570,80.5232,0.8070,0.8268,6,0,0
06/14/2002,17:15,81.1100,82.5400,80.7100,82.5400,13022,0.017981,0.060069,-0.042088,65.23,56.01,63.41,82.2130,80.5116,0.3270,2.0284,7,0,0
06/21/2002,17:15,82.6300,82.9000,81.8000,82.1300,15599,-0.003376,0.047380,-0.050756,63.18,50.13,55.78,82.5020,80.4526,0.3720,1.6774,8,0,0
06/28/2002,17:15,82.0100,83.2500,82.0100,83.1700,24965,0.062894,0.050483,0.012411,66.10,56.79,54.31,82.6040,80.4488,0.5660,2.7212,9,0,0
07/05/2002,17:15,83.2000,83.4600,82.8100,83.1100,9405,0.109311,0.062248,0.047063,65.77,59.99,55.64,82.6400,80.4478,0.4700,2.6622,10,0,0
07/12/2002,17:15,83.0800,83.7900,82.0400,83.7900,20016,0.198677,0.089534,0.109143,67.70,69.30,62.03,82.7930,80.4388,0.9970,3.3512,11,0,0
07/19/2002,17:15,83.9100,84.4100,83.3100,84.1500,23442,0.295147,0.130657,0.164491,68.71,74.33,67.87,82.8450,80.4250,1.3050,3.7250,12,0,0
