"Date","Time","Open","High","Low","Close","Volume","MACD","MACDAvg","MACDDiff","RSI","SlowK","SlowD","FastAvg","SlowAvg","DistF","DistS","FGS","FLS","OpenBar"
07/31/2001,16:00,0.8806,0.8843,0.8787,0.8820,2324,0.000120,0.000024,0.000096,67.84,77.13,76.12,0.8806,0.8671,0.0014,0.0149,2,0,1
08/01/2001,16:00,0.8824,0.8893,0.8824,0.8872,4771,0.000627,0.000145,0.000482,70.78,83.27,78.67,0.8813,0.8670,0.0059,0.0202,3,0,1
08/02/2001,16:00,0.8873,0.8904,0.8846,0.8900,5132,0.001240,0.000364,0.000877,72.25,91.10,83.83,0.8826,0.8670,0.0074,0.0230,4,0,1
08/03/2001,16:00,0.8900,0.8935,0.8835,0.8904,23773,0.001739,0.000639,0.001100,72.46,94.72,89.70,0.8839,0.8670,0.0065,0.0234,5,0,1
08/06/2001,16:00,0.8895,0.8896,0.8849,0.8879,14956,0.001910,0.000893,0.001017,68.90,91.16,92.33,0.8852,0.8671,0.0027,0.0208,6,0,1
08/07/2001,16:00,0.8874,0.8877,0.8816,0.8837,14869,0.001688,0.001052,0.000636,63.28,79.49,88.46,0.8855,0.8673,0.0018,0.0164,7,0,1
08/08/2001,16:00,0.8836,0.8871,0.8804,0.8866,13899,0.001725,0.001187,0.000539,65.38,70.03,80.22,0.8855,0.8677,0.0011,0.0189,8,0,1
08/09/2001,16:00,0.8870,0.9003,0.8849,0.8983,31686,0.002669,0.001483,0.001186,72.27,74.31,74.61,0.8869,0.8683,0.0114,0.0300,9,0,1
08/10/2001,16:00,0.8987,0.9021,0.8976,0.8996,17365,0.003481,0.001883,0.001598,72.92,85.40,76.58,0.8886,0.8690,0.0110,0.0306,10,0,1
08/13/2001,16:00,0.9001,0.9071,0.8988,0.9040,17917,0.004429,0.002392,0.002037,75.04,91.10,83.61,0.8910,0.8698,0.0130,0.0342,11,0,1
08/14/2001,16:00,0.9030,0.9101,0.9005,0.9097,19953,0.005575,0.003029,0.002547,77.49,93.20,89.90,0.8937,0.8706,0.0160,0.0391,12,0,1
