"Date","Time","Open","High","Low","Close","Volume","MACD","MACDAvg","MACDDiff","RSI","SlowK","SlowD","FastAvg","SlowAvg","DistF","DistS","FGS","FLS","OpenBar"
08/31/2005,16:00,1.2518,1.2875,1.2510,1.2728,2748743,0.001675,0.000335,0.001340,51.42,17.12,14.61,1.3206,1.1407,0.0478,0.1321,2,0,1
09/30/2005,16:00,1.2720,1.2968,1.2339,1.2398,2668470,0.000336,0.000335,0.000001,46.73,14.97,15.15,1.3073,1.1478,0.0675,0.0920,3,0,1
10/31/2005,16:00,1.2388,1.2565,1.2230,1.2342,2606803,-0.001164,0.000035,-0.001199,45.96,12.44,14.84,1.2906,1.1542,0.0564,0.0800,4,0,1
11/30/2005,16:00,1.2329,1.2432,1.1977,1.2114,3146958,-0.004144,-0.000800,-0.003344,42.88,6.39,11.27,1.2769,1.1601,0.0655,0.0513,5,0,1
12/30/2005,16:00,1.2116,1.2383,1.1986,1.2150,2370926,-0.006145,-0.001869,-0.004276,43.53,6.81,8.55,1.2618,1.1662,0.0468,0.0488,6,0,1
01/31/2006,16:00,1.2130,1.2620,1.2118,1.2444,2948834,-0.005297,-0.002555,-0.002742,48.62,12.05,8.41,1.2522,1.1730,0.0078,0.0714,7,0,1
02/28/2006,16:00,1.2438,1.2453,1.2096,1.2188,2544371,-0.006615,-0.003367,-0.003248,44.83,13.39,10.75,1.2412,1.1794,0.0224,0.0394,8,0,0
03/31/2006,16:00,1.2197,1.2467,1.2122,1.2364,2800396,-0.006168,-0.003927,-0.002241,47.84,17.31,14.25,1.2376,1.1867,0.0012,0.0497,9,0,1
04/28/2006,16:00,1.2364,1.2870,1.2279,1.2863,2972404,-0.001766,-0.003495,0.001728,55.29,24.96,18.55,1.2411,1.1948,0.0452,0.0915,10,0,0
05/31/2006,16:00,1.2850,1.3193,1.2785,1.3018,4461113,0.002938,-0.002208,0.005147,57.33,42.32,28.20,1.2461,1.2032,0.0557,0.0986,11,0,1
06/30/2006,16:00,1.3020,1.3182,1.2666,1.2973,3097484,0.006232,-0.000520,0.006752,56.52,58.93,42.07,1.2485,1.2108,0.0488,0.0865,12,0,1
07/31/2006,16:00,1.2970,1.3040,1.2618,1.2922,2781544,0.008335,0.001251,0.007084,55.57,70.48,57.24,1.2538,1.2177,0.0384,0.0745,13,0,1
08/31/2006,16:00,1.2924,1.3076,1.2837,1.2940,3208885,0.010031,0.003007,0.007024,55.85,75.06,68.16,1.2598,1.2235,0.0342,0.0705,14,0,1
09/29/2006,16:00,1.2934,1.2997,1.2742,1.2777,2697505,0.009945,0.004394,0.005550,52.59,74.23,73.26,1.2664,1.2291,0.0113,0.0486,15,0,1
10/31/2006,16:00,1.2783,1.2867,1.2576,1.2842,3113994,0.010283,0.005572,0.004711,53.75,72.04,73.78,1.2733,1.2348,0.0109,0.0494,16,0,1
11/30/2006,16:00,1.2848,1.3336,1.2761,1.3300,3754964,0.014084,0.007274,0.006809,61.00,78.82,75.03,1.2819,1.2413,0.0481,0.0887,17,0,1
12/29/2006,16:00,1.3300,1.3423,1.3100,1.3231,3209077,0.016351,0.009090,0.007261,59.49,85.60,78.82,1.2923,1.2476,0.0308,0.0755,18,0,1
01/31/2007,16:00,1.3314,1.3338,1.2896,1.3052,3694595,0.016513,0.010574,0.005939,55.63,85.88,83.43,1.2992,1.2533,0.0060,0.0519,19,0,1
02/28/2007,16:00,1.3046,1.3267,1.2933,1.3237,3045358,0.017928,0.012045,0.005883,58.62,82.21,84.56,1.3029,1.2583,0.0208,0.0654,20,0,0
03/30/2007,16:00,1.3232,1.3373,1.3074,1.3311,3758417,0.019422,0.013520,0.005901,59.78,83.65,83.91,1.3059,1.2630,0.0252,0.0681,21,0,1
04/30/2007,16:00,1.3331,1.3630,1.3270,1.3590,2973923,0.022597,0.015336,0.007261,63.91,91.88,85.91,1.3120,1.2680,0.0470,0.0910,22,0,1
05/31/2007,16:00,1.3585,1.3615,1.3331,1.3377,3326239,0.023128,0.016894,0.006234,58.94,90.32,88.62,1.3166,1.2724,0.0211,0.0653,23,0,1
06/29/2007,16:00,1.3377,1.3477,1.3181,1.3451,3237006,0.023871,0.018289,0.005581,60.10,87.94,90.05,1.3217,1.2764,0.0234,0.0687,24,0,1
07/31/2007,16:00,1.3455,1.3753,1.3438,1.3581,3553708,0.025217,0.019675,0.005542,62.12,83.14,87.13,1.3297,1.2794,0.0284,0.0787,25,0,1
08/31/2007,16:00,1.3575,1.3735,1.3245,1.3508,4045306,0.025403,0.020821,0.004582,60.27,82.51,84.53,1.3364,1.2828,0.0144,0.0680,26,0,1
09/28/2007,16:00,1.3516,1.4143,1.3434,1.4130,2680110,0.030221,0.022701,0.007520,68.80,89.03,84.89,1.3447,1.2880,0.0683,0.1250,27,0,0
10/31/2007,16:00,1.4143,1.4360,1.3876,1.4342,3816671,0.035342,0.025229,0.010113,71.08,93.90,88.48,1.3558,1.2940,0.0784,0.1402,28,0,1
11/30/2007,16:00,1.4333,1.4820,1.4256,1.4483,3738102,0.040076,0.028198,0.011878,72.52,93.42,92.12,1.3701,1.2990,0.0782,0.1493,29,0,1
12/31/2007,16:00,1.4498,1.4617,1.4155,1.4434,2475064,0.042938,0.031146,0.011792,71.20,87.83,91.72,1.3821,1.3040,0.0613,0.1394,30,0,1
01/31/2008,16:00,1.4510,1.4748,1.4187,1.4677,3655591,0.046629,0.034243,0.012386,73.76,86.09,89.11,1.3957,1.3087,0.0720,0.1590,31,0,1
02/29/2008,16:00,1.4662,1.5066,1.4256,1.5009,3305722,0.051638,0.037722,0.013916,76.79,90.48,88.13,1.4099,1.3128,0.0910,0.1881,32,0,1
03/31/2008,16:00,1.5015,1.5740,1.4972,1.5627,3724508,0.059904,0.042159,0.017746,81.16,95.46,90.68,1.4324,1.3183,0.1303,0.2444,33,0,1
04/30/2008,16:00,1.5607,1.5882,1.5358,1.5491,4587129,0.064613,0.046649,0.017964,77.70,92.79,92.91,1.4528,1.3236,0.0963,0.2255,34,0,1
05/30/2008,16:00,1.5490,1.5701,1.5152,1.5443,4515849,0.067183,0.050756,0.016427,76.45,88.66,92.31,1.4714,1.3290,0.0729,0.2153,35,0,1
06/30/2008,16:00,1.5443,1.5748,1.5208,1.5667,4119608,0.070217,0.054648,0.015569,78.20,87.27,89.58,1.4930,1.3356,0.0737,0.2311,36,0,1
07/31/2008,16:00,1.5666,1.5960,1.5457,1.5544,4697240,0.070814,0.057881,0.012932,74.91,86.92,87.62,1.5072,1.3414,0.0472,0.2130,37,0,1
08/29/2008,16:00,1.5536,1.5570,1.4528,1.4629,4979449,0.063175,0.058940,0.004235,56.02,76.06,83.42,1.5100,1.3454,0.0471,0.1175,38,0,1
09/30/2008,16:00,1.4652,1.4886,1.3851,1.4182,4807992,0.052904,0.057733,-0.004829,49.46,57.06,73.35,1.5070,1.3489,0.0888,0.0693,39,0,1
10/31/2008,16:00,1.4199,1.4251,1.2366,1.2759,4536272,0.032902,0.052767,-0.019864,35.29,30.08,54.40,1.4903,1.3491,0.2144,0.0732,40,0,1
11/28/2008,16:00,1.2792,1.3136,1.2412,1.2740,3444391,0.016705,0.045554,-0.028849,35.14,17.21,34.78,1.4709,1.3489,0.1969,0.0749,41,0,0
12/31/2008,16:00,1.2747,1.4726,1.2586,1.3960,2676634,0.013557,0.039155,-0.025598,49.48,21.90,23.06,1.4604,1.3503,0.0644,0.0457,42,0,1
01/30/2009,16:00,1.3960,1.3995,1.2794,1.2841,3568572,0.002010,0.031726,-0.029716,40.61,22.66,20.59,1.4326,1.3485,0.1485,0.0644,43,0,1
02/27/2009,16:00,1.2781,1.3126,1.2547,1.2695,3878550,-0.008225,0.023736,-0.031961,39.61,22.24,22.27,1.4046,1.3459,0.1351,0.0764,44,0,0
03/31/2009,16:00,1.2654,1.3779,1.2495,1.3294,3751119,-0.011372,0.016714,-0.028086,45.53,16.06,20.32,1.3831,1.3455,0.0537,0.0161,45,0,1
04/30/2009,16:00,1.3289,1.3624,1.2920,1.3265,3151626,-0.013939,0.010584,-0.024522,45.29,20.00,19.43,1.3591,1.3447,0.0326,0.0182,46,0,1
05/29/2009,16:00,1.3264,1.4210,1.3252,1.4206,3728219,-0.008285,0.006810,-0.015095,53.54,34.01,23.36,1.3457,1.3463,0.0749,0.0743,0,1,1
06/30/2009,16:00,1.4175,1.4380,1.3787,1.4083,4288516,-0.004742,0.004500,-0.009241,52.43,41.33,31.78,1.3403,1.3479,0.0680,0.0604,0,2,1
07/31/2009,16:00,1.4086,1.4357,1.3883,1.4303,4666669,-0.000157,0.003568,-0.003725,54.26,50.96,42.10,1.3415,1.3511,0.0888,0.0792,0,3,1
08/31/2009,16:00,1.4320,1.4500,1.4096,1.4384,4190550,0.004084,0.003671,0.000412,54.94,52.61,48.30,1.3577,1.3548,0.0807,0.0836,1,0,1
09/30/2009,16:00,1.4382,1.4893,1.4228,1.4686,4359653,0.009768,0.004891,0.004877,57.51,60.38,54.65,1.3772,1.3592,0.0914,0.1094,2,0,1
10/30/2009,16:00,1.4688,1.5111,1.4528,1.4763,5424300,0.014725,0.006858,0.007867,58.16,70.58,61.19,1.3852,1.3632,0.0911,0.1131,3,0,1
11/30/2009,16:00,1.4779,1.5193,1.4673,1.5053,5393073,0.020754,0.009637,0.011117,60.62,84.37,71.77,1.4073,1.3685,0.0980,0.1368,4,0,1
12/31/2009,16:00,1.5054,1.5191,1.4269,1.4379,4039767,0.019864,0.011682,0.008182,52.85,84.41,79.78,1.4242,1.3726,0.0137,0.0653,5,0,1
01/29/2010,16:00,1.4377,1.4631,1.3912,1.3912,5400118,0.015216,0.012389,0.002827,48.24,73.09,80.62,1.4303,1.3762,0.0391,0.0150,6,0,1
02/26/2010,16:00,1.3914,1.4080,1.3496,1.3686,6396355,0.009597,0.011831,-0.002233,46.14,55.95,71.15,1.4346,1.3793,0.0660,0.0107,7,0,0
03/31/2010,16:00,1.3678,1.3875,1.3322,1.3569,6461103,0.004153,0.010295,-0.006142,45.05,45.49,58.18,1.4282,1.3815,0.0713,0.0246,8,0,1
04/30/2010,16:00,1.3563,1.3750,1.3173,1.3355,7077994,-0.001867,0.007863,-0.009730,43.04,38.61,46.68,1.4209,1.3839,0.0854,0.0484,9,0,1
05/31/2010,16:00,1.3389,1.3391,1.2196,1.2328,9483880,-0.014755,0.003339,-0.018094,34.98,24.62,36.24,1.4012,1.3838,0.1684,0.1510,10,0,1
06/30/2010,16:00,1.2339,1.2524,1.1931,1.2295,6310047,-0.024948,-0.002318,-0.022629,34.76,15.14,26.12,1.3803,1.3826,0.1508,0.1531,0,1,1
07/30/2010,16:00,1.2286,1.3153,1.2244,1.3095,5994587,-0.026267,-0.007108,-0.019159,44.14,17.44,19.06,1.3644,1.3828,0.0549,0.0733,0,2,1
08/31/2010,16:00,1.3107,1.3380,1.2634,1.2727,6378438,-0.029937,-0.011674,-0.018263,41.21,23.75,18.77,1.3440,1.3823,0.0713,0.1096,0,3,1
09/30/2010,16:00,1.2735,1.3730,1.2692,1.3678,6541277,-0.024885,-0.014316,-0.010569,50.39,37.88,26.35,1.3302,1.3838,0.0376,0.0160,0,4,1
10/29/2010,16:00,1.3676,1.4208,1.3663,1.3991,7464662,-0.018147,-0.015082,-0.003064,52.99,47.04,36.22,1.3264,1.3859,0.0727,0.0132,0,5,1
11/30/2010,16:00,1.4013,1.4328,1.3020,1.3032,8204847,-0.020310,-0.016128,-0.004182,45.17,50.15,45.02,1.3176,1.3864,0.0144,0.0832,0,6,1
12/31/2010,16:00,1.3037,1.3558,1.3021,1.3423,5178249,-0.018655,-0.016633,-0.002022,48.51,47.55,48.25,1.3149,1.3876,0.0274,0.0453,0,7,1
01/31/2011,16:00,1.3409,1.3818,1.2935,1.3753,7388803,-0.014513,-0.016209,0.001696,51.21,45.12,47.61,1.3168,1.3885,0.0585,0.0132,0,8,1
02/28/2011,16:00,1.3748,1.3921,1.3489,1.3866,6426301,-0.010201,-0.015008,0.004806,52.13,56.92,49.86,1.3219,1.3898,0.0647,0.0032,0,9,0
03/31/2011,16:00,1.3868,1.4311,1.3807,1.4220,6172787,-0.003883,-0.012783,0.008900,55.01,72.35,58.13,1.3408,1.3921,0.0812,0.0299,0,10,1
04/29/2011,16:00,1.4233,1.4946,1.4123,1.4902,5443146,0.006552,-0.008916,0.015468,60.00,88.70,72.65,1.3669,1.3954,0.1233,0.0948,0,11,1
05/31/2011,16:00,1.4892,1.5007,1.4045,1.4475,7618781,0.011247,-0.004883,0.016130,55.83,91.94,84.33,1.3807,1.3978,0.0668,0.0497,0,12,1
06/30/2011,16:00,1.4471,1.4772,1.4159,1.4589,6144522,0.015706,-0.000765,0.016472,56.69,89.16,89.93,1.3993,1.3998,0.0596,0.0591,0,13,1
07/29/2011,16:00,1.4582,1.4667,1.3931,1.4504,6901560,0.018343,0.003056,0.015287,55.81,84.25,88.45,1.4076,1.4020,0.0428,0.0484,1,0,1
08/31/2011,16:00,1.4459,1.4673,1.4161,1.4482,8037546,0.020025,0.006450,0.013574,55.57,83.78,85.73,1.4125,1.4041,0.0357,0.0441,2,0,1
09/30/2011,16:00,1.4496,1.4498,1.3477,1.3535,6698221,0.013559,0.007872,0.005687,46.33,69.56,79.20,1.4175,1.4040,0.0640,0.0505,3,0,1
10/31/2011,16:00,1.3473,1.4361,1.3262,1.3972,6995796,0.011825,0.008663,0.003163,50.43,59.31,70.88,1.4230,1.4049,0.0258,0.0077,4,0,1
11/30/2011,16:00,1.3975,1.3999,1.3332,1.3565,6602346,0.007085,0.008347,-0.001262,46.84,41.58,56.82,1.4211,1.4038,0.0646,0.0473,5,0,1
12/30/2011,16:00,1.3561,1.3670,1.2978,1.3075,4004966,-0.000618,0.006554,-0.007172,42.89,31.74,44.21,1.4132,1.4013,0.1057,0.0938,6,0,1
01/31/2012,16:00,1.3156,1.3346,1.2736,1.3194,5603740,-0.005697,0.004104,-0.009801,44.12,19.14,30.82,1.4029,1.3987,0.0835,0.0793,7,0,1
02/29/2012,16:00,1.3202,1.3597,1.3084,1.3448,5958910,-0.007585,0.001766,-0.009351,46.76,19.81,23.56,1.3884,1.3967,0.0436,0.0519,0,1,1
03/30/2012,16:00,1.3431,1.3490,1.3108,1.3448,4852359,-0.008978,-0.000383,-0.008595,46.76,27.62,22.19,1.3781,1.3942,0.0333,0.0494,0,2,1
04/30/2012,16:00,1.3464,1.3486,1.3099,1.3341,4859973,-0.010820,-0.002470,-0.008350,45.71,29.78,25.74,1.3656,1.3909,0.0315,0.0568,0,3,1
05/31/2012,16:00,1.3342,1.3386,1.2436,1.2464,6488298,-0.019137,-0.005803,-0.013333,38.11,18.91,25.44,1.3452,1.3846,0.0988,0.1382,0,4,1
06/29/2012,16:00,1.2460,1.2841,1.2387,1.2752,5624264,-0.023137,-0.009270,-0.013867,41.55,13.37,20.69,1.3279,1.3791,0.0527,0.1039,0,5,1
07/31/2012,16:00,1.2760,1.2764,1.2133,1.2395,5300008,-0.028855,-0.013187,-0.015668,38.68,8.37,13.55,1.3165,1.3730,0.0770,0.1335,0,6,1
08/31/2012,16:00,1.2388,1.2722,1.2222,1.2664,5036668,-0.030860,-0.016722,-0.014139,41.93,14.85,12.20,1.3035,1.3670,0.0371,0.1006,0,7,1
09/28/2012,16:00,1.2663,1.3254,1.2585,1.2933,4536886,-0.029934,-0.019364,-0.010570,45.07,20.64,14.62,1.2971,1.3618,0.0038,0.0685,0,8,0
10/31/2012,16:00,1.2929,1.3218,1.2884,1.3038,5193455,-0.028029,-0.021097,-0.006932,46.29,30.03,21.84,1.2968,1.3586,0.0070,0.0548,0,9,1
11/30/2012,16:00,1.3032,1.3102,1.2736,1.3071,5264202,-0.025954,-0.022069,-0.003886,46.69,37.05,29.24,1.2955,1.3564,0.0116,0.0493,0,10,1
12/31/2012,16:00,1.3066,1.3379,1.2948,1.3266,3380421,-0.022477,-0.022150,-0.000327,49.10,46.08,37.72,1.2937,1.3574,0.0329,0.0308,0,11,1
01/31/2013,16:00,1.3315,1.3656,1.3063,1.3636,5669260,-0.016546,-0.021029,0.004484,53.42,63.47,48.87,1.2956,1.3592,0.0680,0.0044,0,12,1
02/28/2013,16:00,1.3647,1.3773,1.3078,1.3123,6066126,-0.015802,-0.019984,0.004182,47.42,71.90,60.48,1.2934,1.3575,0.0189,0.0452,0,13,0
03/29/2013,16:00,1.3126,1.3193,1.2802,1.2867,4871780,-0.017081,-0.019403,0.002322,44.72,66.99,67.45,1.2975,1.3576,0.0108,0.0709,0,14,1
04/30/2013,16:00,1.2863,1.3252,1.2795,1.3210,5474186,-0.015153,-0.018553,0.003400,48.91,56.93,65.27,1.3020,1.3586,0.0190,0.0376,0,15,1
05/31/2013,16:00,1.3215,1.3292,1.2842,1.3027,6019569,-0.014929,-0.017829,0.002899,46.87,54.98,59.63,1.3084,1.3581,0.0057,0.0554,0,16,1
