"Date","Time","Open","High","Low","Close","Volume","MACD","MACDAvg","MACDDiff","RSI","SlowK","SlowD","FastAvg","SlowAvg","DistF","DistS","FGS","FLS","OpenBar"
05/10/2002,16:00,0.9306,0.9329,0.9181,0.9277,96599,-0.000223,-0.000045,-0.000179,74.33,96.40,97.97,0.9013,0.8950,0.0264,0.0327,2,0,0
05/17/2002,16:00,0.9271,0.9362,0.9142,0.9358,132815,0.000250,0.000014,0.000236,76.41,96.59,97.25,0.9066,0.8966,0.0292,0.0392,3,0,0
05/24/2002,16:00,0.9355,0.9423,0.9306,0.9357,110359,0.000611,0.000134,0.000477,76.33,93.67,95.55,0.9108,0.8981,0.0249,0.0376,4,0,0
05/31/2002,16:00,0.9355,0.9562,0.9330,0.9472,131919,0.001803,0.000468,0.001336,79.10,92.53,94.26,0.9165,0.8997,0.0307,0.0475,5,0,0
06/07/2002,16:00,0.9478,0.9642,0.9454,0.9593,153301,0.003683,0.001111,0.002572,81.56,91.48,92.56,0.9241,0.9016,0.0352,0.0577,6,0,0
06/14/2002,16:00,0.9583,0.9681,0.9543,0.9608,161866,0.005232,0.001935,0.003298,81.84,91.75,91.92,0.9310,0.9037,0.0298,0.0571,7,0,0
06/21/2002,16:00,0.9600,0.9874,0.9566,0.9857,136693,0.008374,0.003223,0.005151,85.77,95.01,92.75,0.9403,0.9064,0.0454,0.0793,8,0,0
06/28/2002,16:00,0.9861,1.0148,0.9818,1.0077,231140,0.012494,0.005077,0.007417,88.20,95.00,93.92,0.9506,0.9093,0.0571,0.0984,9,0,0
07/05/2002,16:00,1.0076,1.0132,0.9878,0.9895,110844,0.014128,0.006887,0.007241,76.56,90.71,93.57,0.9580,0.9116,0.0315,0.0779,10,0,0
07/12/2002,16:00,0.9907,1.0131,0.9904,1.0070,145727,0.016643,0.008838,0.007805,79.38,89.71,91.81,0.9656,0.9141,0.0414,0.0929,11,0,0
07/19/2002,16:00,1.0080,1.0377,1.0080,1.0302,154236,0.020275,0.011126,0.009149,82.40,89.96,90.13,0.9759,0.9169,0.0543,0.1133,12,0,0
07/26/2002,16:00,1.0263,1.0301,1.0013,1.0042,181932,0.020815,0.013064,0.007752,70.02,88.15,89.28,0.9827,0.9189,0.0215,0.0853,13,0,0
08/02/2002,16:00,1.0045,1.0091,0.9899,1.0040,132478,0.020985,0.014648,0.006337,69.93,81.71,86.61,0.9896,0.9205,0.0144,0.0835,14,0,0
08/09/2002,16:00,1.0041,1.0049,0.9798,0.9882,132656,0.019619,0.015642,0.003977,63.24,69.79,79.88,0.9937,0.9219,0.0055,0.0663,15,0,0
08/16/2002,16:00,0.9882,1.0073,0.9876,1.0017,99086,0.019402,0.016394,0.003008,66.22,67.94,73.15,0.9979,0.9236,0.0038,0.0781,16,0,0
